date,item_id,total_sales,total_units_ordered
2025-06-01,0,309.99,1
2025-06-01,3,338,2
2025-06-01,4,617.99,3
2025-06-01,9,219,1
2025-06-01,12,534,3
2025-06-01,13,131.99,1
2025-06-01,15,6551.98,51
2025-06-01,17,674.89,7
2025-06-01,18,2317.13,27
2025-06-01,20,296.94,3
2025-06-01,21,22767.21,258
2025-06-01,22,1487.88,12
2025-06-01,23,1140,5
2025-06-01,24,894,3
2025-06-01,25,745,5
2025-06-01,26,444,3
2025-06-01,27,12159.24,76
2025-06-01,28,1792,14
2025-06-01,29,2299.77,23
2025-06-01,31,175,1
